fips   For 0-4 total (not just related kids) poverty ratios     For 5-17 total (not just related kids) poverty ratios                 For 18-64 poverty ratios                                    For 65+ poverty ratios
     cps98 irspr98 irsnf98    fs98   cpsse  cpsest     gvfse   cps98 irspr98 irsnf98    fs98   cpsse  cpsest     gvfse   cps98 irspr98 irsnf98    fs98   cpsse  cpsest     gvfse   cps98 irspr98 irsnf98   SSI98   cpsse  cpsest     gvfse smpsize
24  3.9028  9.7626 11.4906  5.4790  2.3483  3.9028   2.67848  8.8098 13.0789 11.4906  5.4790  2.9125  7.7872   2.84470  6.4232  9.7626 11.4906  5.4790  1.2967  6.4232   1.22433  9.9272  4.4123 40.8626  4.1793  2.9242  9.9272   2.82954     550
25  9.8908  8.6798 11.0822  4.3363  3.1063  9.8908   2.82188 14.9949 11.2040 11.0822  4.3363  2.2211 14.2976   2.45635  6.9050  8.6798 11.0822  4.3363  0.7760  6.9050   .835219  7.5878  4.9205 43.7493  5.8042  1.5162  7.5878   1.54264    1203
26 16.5165 11.2610 12.2428  7.1755  3.0363 16.2484   2.96489 15.1120 15.8323 12.2428  7.1755  1.8639 14.3240   2.05511  8.8512 11.2610 12.2428  7.1755  0.8179  8.8512   .829783 10.1725  7.1377 39.3256  3.1436  1.6439 10.1725   1.58429    1665
27 22.8248  8.7863  7.5021  4.4327  4.4244 21.8285   5.14151 12.4643 10.7462  7.5021  4.4327  2.9484 11.9380   2.96462  7.9457  8.7863  7.5021  4.4327  1.0950  7.9457   1.19063 10.1662  6.7153 37.7761  2.5812  1.7932 10.1662   2.49896     681
28 27.4997 19.0750 14.4444 10.6877  5.3393 27.4997   5.86831 19.5088 26.8163 14.4444 10.6877  3.5574 19.2040   3.83910 15.2891 19.0750 14.4444 10.6877  1.6739 15.2891   1.76569 19.5416  5.0699 59.1650 13.2037  3.5869 19.5416   3.52612     589
29 18.3811 13.2756 10.1425  7.4398  6.2802 18.3811   5.19511 14.2530 17.6607 10.1425  7.4398  3.8271 13.9962   3.49148  7.8175 13.2756 10.1425  7.4398  1.5809  7.8175   1.31321  7.9311  6.9001 42.7594  3.4330  2.9309  7.9311   2.46524     579
30 24.0292 17.3238 11.3166  6.9308  4.6885 23.2495   5.17258 21.8678 21.7513 11.3166  6.9308  5.2512 20.6426   3.88345 14.9433 17.3238 11.3166  6.9308  1.8568 14.9433   1.66225  9.5848  9.8099 36.2132  2.2522  1.9562  9.5848   2.30890     718
31 19.9634 11.5653  6.4185  5.6725  4.2453 19.3904   4.83483 14.5875 14.0398  6.4185  5.6725  2.8454 14.5875   3.11723 10.7471 11.5653  6.4185  5.6725  1.1957 10.7471   1.35331 10.3577  8.7298 34.9154  1.9285  2.9197 10.3577   2.75499     688
32 14.6526 11.0785 10.8973  3.5775  4.5163 13.7622   4.42743 12.8037 15.2345 10.8973  3.5775  2.5058 12.3152   2.93348  9.3401 11.0785 10.8973  3.5775  1.3564  9.3401   1.29697  8.9606  6.1385 38.0855  3.2983  2.0620  8.9606   2.23558     731
33 17.2486  7.9400  5.9568  3.1631  5.2644 17.2486   5.41538 13.4781  8.8436  5.9568  3.1631  4.1127 12.3123   3.54479  7.6275  7.9400  5.9568  3.1631  1.3673  7.6275   1.38169  9.4161  5.9813 39.5580  1.3904  2.6504  9.4161   2.80697     500
34  8.5705  9.4289 10.1923  4.8344  2.1214  8.5705   2.31992 13.3246 12.2859 10.1923  4.8344  2.4220 12.9941   2.21294  7.3549  9.4289 10.1923  4.8344  0.8358  7.3549   .824011  7.5383  5.8909 40.0163  4.4821  1.4881  7.5383   1.42243    1499
35 33.0028 20.6975 11.5784 10.3185  5.0996 32.6355   4.95519 23.9069 28.2987 11.5784 10.3185  3.7059 23.0193   3.28793 18.0324 20.6975 11.5784 10.3185  1.6888 18.0324   1.54853 16.1695  7.1309 43.8967  7.5450  2.1889 16.1695   2.64262     912
36 24.0855 13.3524 15.6753  8.5926  2.2835 22.7887   2.38322 24.3911 19.0414 15.6753  8.5926  1.7364 23.1347   1.78722 13.7644 13.3524 15.6753  8.5926  0.8101 13.7644   .736821 14.7307  5.4996 47.7394  8.9243  1.6630 14.7307   1.34778    3287
37 20.8219 13.1296 10.3968  6.5108  2.9623 20.3318   3.65511 21.5664 18.5730 10.3968  6.5108  2.6027 19.9832   2.75793 11.6241 13.1296 10.3968  6.5108  1.1335 11.6241   1.12041 11.3720  5.3500 50.3339  6.7184  2.7156 11.3720   2.05715    1269
38 30.3345 13.3479  7.0039  5.2899  6.1974 30.3345   5.79962 17.0189 15.4495  7.0039  5.2899  2.3995 16.4358   3.31108 12.6184 13.3479  7.0039  5.2899  1.5515 12.6184   1.62968 14.4274  9.0244 34.7402  2.6485  3.1582 14.4274   2.81208     637
39 21.8332 11.6886  9.1228  5.8401  3.5213 20.3596   3.15021 16.3696 15.1834  9.1228  5.8401  1.9467 14.8318   2.11393  8.7096 11.6886  9.1228  5.8401  0.5896  8.7096   .730211  9.1153  5.7702 42.6684  2.5671  1.4803  9.1153   1.32526    1874
40 17.0594 16.8061 14.1339  8.2408  6.1173 17.0594   4.63356 19.6750 23.7650 14.1339  8.2408  3.1380 18.5949   3.58974 12.8848 16.8061 14.1339  8.2408  1.3712 12.8848   1.49833  9.6973  7.3513 46.3978  4.7435  2.6310  9.6973   2.43243     760
41 27.0626 12.1335 13.4547  6.8209  3.9983 26.0343   5.56143 19.2760 16.9690 13.4547  6.8209  3.2115 18.5754   3.73224 13.1889 12.1335 13.4547  6.8209  1.1102 13.1889   1.55194  9.8331  6.5951 39.6972  2.5799  3.1488  9.8331   2.49502     637
