fips   Total 0-4 poverty ratios        Related 5-17 poverty ratios       Total 5-17 poverty ratios         For 18-64 poverty ratios          For 65+ poverty ratios
     cen99 irspr99 irsnf99    fs99    cen99 irspr99 irsnf99    fs99    cen99 irspr99 irsnf99    fs99    cen99 irspr99 irsnf99    fs99    cen99 irspr99 irsnf99   SSI99
33  8.9779  7.6293  5.4169  2.9812   6.5109  8.3220  5.4169  2.9812   7.1977  8.3220  5.4169  2.9812   5.8316  7.6293  5.4169  2.9812   7.1883  6.1573 38.0787  1.3212 
34 11.1828  9.1844 10.2691  4.2295  10.3527 11.9662 10.2691  4.2295  10.7960 11.9662 10.2691  4.2295   7.5274  9.1844 10.2691  4.2295   7.8298  6.2337 38.5398  4.1605 
35 26.9545 19.9712 13.2669  9.4309  23.0957 27.9039 13.2669  9.4309  23.8180 27.9039 13.2669  9.4309  16.3761 19.9712 13.2669  9.4309  12.7987  7.3333 44.4005  7.1037 
36 20.4702 13.0555 16.5348  7.7216  18.5487 18.8905 16.5348  7.7216  19.1923 18.8905 16.5348  7.7216  12.9462 13.0555 16.5348  7.7216  11.3337  5.7497 46.3640  7.8715 
37 17.5425 12.5636 12.5217  5.9535  14.5467 18.1090 12.5217  5.9535  15.1891 18.1090 12.5217  5.9535  10.5016 12.5636 12.5217  5.9535  13.2512  5.5610 48.3581  6.4178 
38 17.2242 12.2420  7.7408  5.0083  11.9944 14.2785  7.7408  5.0083  12.6621 14.2785  7.7408  5.0083  10.9109 12.2420  7.7408  5.0083  11.1234  8.5290 35.0886  2.5040 
39 16.9887 11.4817  8.2513  5.3923  12.5701 14.7103  8.2513  5.3923  13.1391 14.7103  8.2513  5.3923   9.4176 11.4817  8.2513  5.3923   8.1365  6.0043 41.2191  2.5110 
40 22.5166 16.2342 14.0505  7.4236  17.2362 22.9112 14.0505  7.4236  18.1080 22.9112 14.0505  7.4236  13.2317 16.2342 14.0505  7.4236  11.0941  7.4144 45.1168  4.4742 
41 16.9524 11.7552 13.4729  6.7023  12.3520 16.3773 13.4729  6.7023  13.4243 16.3773 13.4729  6.7023  11.1478 11.7552 13.4729  6.7023   7.5619  6.9383 37.8359  2.5815 
42 15.9657 11.3773  9.0701  6.4268  13.3150 14.9051  9.0701  6.4268  13.9384 14.9051  9.0701  6.4268   9.8065 11.3773  9.0701  6.4268   9.0668  7.2889 42.9767  3.1021 
44 18.7919 10.2276 13.6978  7.1534  15.2752 13.9296 13.6978  7.1534  15.8431 13.9296 13.6978  7.1534  10.1148 10.2276 13.6978  7.1534  10.5555  5.3726 47.4482  4.1655 
45 19.8190 14.4721 12.9156  7.3947  17.5071 20.3973 12.9156  7.3947  18.1142 20.3973 12.9156  7.3947  12.0459 14.4721 12.9156  7.3947  13.9024  5.0940 50.0046  6.7573 
46 19.9852 13.3637  8.1583  5.6853  15.0718 16.4430  8.1583  5.6853  15.7790 16.4430  8.1583  5.6853  11.6108 13.3637  8.1583  5.6853  11.1350  8.8615 35.1832  3.1812 
47 20.0596 14.4675 10.8821  8.7313  16.1901 19.7104 10.8821  8.7313  16.8354 19.7104 10.8821  8.7313  11.5914 14.4675 10.8821  8.7313  13.4569  6.0369 50.8442  6.5850 
48 21.8965 16.5112 13.4501  6.4274  18.9269 23.3107 13.4501  6.4274  19.5792 23.3107 13.4501  6.4274  13.3330 16.5112 13.4501  6.4274  12.7359  6.7598 46.3492  7.8925 
49 11.5086 10.6424 10.4740  3.7397   8.6845 12.4205 10.4740  3.7397   9.3694 12.4205 10.4740  3.7397   9.4793 10.6424 10.4740  3.7397   5.8116  5.6487 35.5821  1.8793 
50 13.1672 11.2596  7.7201  6.8597   9.6469 13.3141  7.7201  6.8597  10.6612 13.3141  7.7201  6.8597   8.6500 11.2596  7.7201  6.8597   8.4488  8.2893 41.0063  3.4015 
51 12.9391 10.4529 11.2958  4.8127  11.1630 14.3994 11.2958  4.8127  11.7398 14.3994 11.2958  4.8127   8.4759 10.4529 11.2958  4.8127   9.4617  4.7871 41.6966  5.0279 
53 15.5307 10.2342 11.1351  4.9953  11.8158 13.6372 11.1351  4.9953  12.6480 13.6372 11.1351  4.9953   9.8664 10.2342 11.1351  4.9953   7.4913  5.3382 35.4054  3.3565 
54 26.5108 16.9150 13.3931 12.7542  22.2569 23.3162 13.3931 12.7542  23.0053 23.3162 13.3931 12.7542  16.8992 16.9150 13.3931 12.7542  11.8549  5.2897 54.6315  4.9069 
55 12.8035  9.0903  7.3953  3.5068   9.7563 11.6601  7.3953  3.5068  10.3607 11.6601  7.3953  3.5068   7.7586  9.0903  7.3953  3.5068   7.4248  7.3118 37.9198  2.4916 
56 17.6110 13.3448  7.3111  4.5536  12.1089 16.0465  7.3111  4.5536  13.0615 16.0465  7.3111  4.5536  10.5027 13.3448  7.3111  4.5536   8.8243  8.5556 33.9868  1.6334 
