38 19.4622 14.3698  7.9649  5.5441  15.6486 15.6805  7.9649  5.5441  12.9852 14.3698  7.9649  5.5441  14.6133  8.9459 37.3600  2.4821
39 20.8180 10.7103 10.7112  9.0842  15.9609 12.3617 10.7112  9.0842  10.6644 10.7103 10.7112  9.0842  10.6587  6.7416 43.6134  1.6420
40 24.9869 15.9208 14.4682  7.6147  19.5495 20.9318 14.4682  7.6147  14.1925 15.9208 14.4682  7.6147  17.8953  7.2912 49.1192  4.8287
41 19.3087 12.0297 13.9514  6.9627  12.9742 15.0499 13.9514  6.9627  11.5370 12.0297 13.9514  6.9627  10.1336  7.6566 41.1208  1.6224
42 17.3109  9.9905 10.0449  7.2170  14.2511 11.6911 10.0449  7.2170   9.4770  9.9905 10.0449  7.2170  10.5890  7.5373 44.9512  2.2754
44 16.1420  8.1509 12.3379  5.5759  12.1166  9.5597 12.3379  5.5759   7.5802  8.1509 12.3379  5.5759  11.6006  4.7792 49.4283  3.2611
45 22.5431 15.2337 11.0075  6.7920  19.6729 20.0945 11.0075  6.7920  11.9727 15.2337 11.0075  6.7920  20.5452  5.1732 57.4715  7.4613
46 23.3088 15.7381  8.4068  6.6041  18.4714 18.3297  8.4068  6.6041  13.6312 15.7381  8.4068  6.6041  15.4757 10.1630 39.2655  2.7640
47 23.6408 15.5290  9.6290  9.6883  19.1878 19.7785  9.6290  9.6883  12.5272 15.5290  9.6290  9.6883  20.9469  6.2977 55.9680  6.8640
48 25.2940 18.5486 13.0727  9.7882  22.9758 25.5228 13.0727  9.7882  15.1521 18.5486 13.0727  9.7882  18.3649  6.8992 49.1364  6.9186
49 15.6761 11.3558 12.3363  5.2072  10.7043 12.6696 12.3363  5.2072  10.9574 11.3558 12.3363  5.2072   8.7958  6.0958 40.5486  1.1954
50 13.3036 10.3032  8.9743  6.0112  10.4424 11.7274  8.9743  6.0112   8.4872 10.3032  8.9743  6.0112  12.3724  8.0978 42.3884  4.0119
51 14.2574  9.4425 11.5984  5.0262  12.1928 11.8883 11.5984  5.0262   8.4335  9.4425 11.5984  5.0262  14.1252  4.6324 46.7681  4.4079
53 16.6340  9.8660 12.7200  6.3393  12.4068 12.0918 12.7200  6.3393   9.7598  9.8660 12.7200  6.3393   9.0717  5.7130 38.5037  1.9462
54 31.3611 15.3921 14.8990 13.3059  23.6045 19.2581 14.8990 13.3059  17.6528 15.3921 14.8990 13.3059  16.7492  5.3982 57.5414  3.4572
55 17.4968  9.8040  8.7310  5.3755  13.0842 10.9451  8.7310  5.3755   9.2031  9.8040  8.7310  5.3755   9.0617  7.9157 43.7887  3.3988
56 18.1104 13.1120  7.0255  5.5819  12.4088 13.9858  7.0255  5.5819  10.7782 13.1120  7.0255  5.5819  10.6745  9.3332 37.4598  1.4882

